id,Ycoordinate,Xcoordinate,elevation,slope,aspect
1,51.08131127,7.973530385,0,0,0
2,51.10959924,8.288439504,0,0,0
3,51.23324841,8.047388426,0,0,0
4,51.04710275,8.408843285,0,0,0
5,50.97249618,8.416251669,0,0,0
6,51.17311152,7.935540163,0,0,0
7,51.12328186,8.103765046,0,0,0
8,51.08670239,8.362334117,0,0,0
9,50.98519566,8.36159507,0,0,0
10,51.05050418,8.493376373,0,0,0
11,51.1371632,8.466983585,0,0,0
12,51.15459115,7.978513963,0,0,0
13,50.97503646,8.408631368,0,0,0
14,51.08712807,7.853102081,0,0,0
15,51.07349464,8.081923283,0,0,0
16,51.07059431,8.260212553,0,0,0
17,51.10761343,8.26481232,0,0,0
18,51.2379976,8.026240653,0,0,0
19,51.14641266,8.077998398,0,0,0
20,51.06694988,8.403064667,0,0,0
21,51.12136506,8.313336974,0,0,0
22,51.10673942,8.485122643,0,0,0
23,51.10012777,8.3163288,0,0,0
24,51.05452964,8.234258103,0,0,0
25,51.01772321,8.21576798,0,0,0
26,51.08557176,8.249652676,0,0,0
27,51.10934716,8.411502515,0,0,0
28,51.04910894,8.319460097,0,0,0
29,51.03184206,8.236685229,0,0,0
30,51.17348916,7.880729999,0,0,0
31,50.9796217,8.381995403,0,0,0
32,50.97175511,8.272403616,0,0,0
33,51.09061134,8.12649975,0,0,0
34,50.93259931,8.363373976,0,0,0
35,51.08647102,8.465936908,0,0,0
36,51.10134444,8.246832749,0,0,0
37,51.11464473,8.010404184,0,0,0
38,51.08729658,8.217453567,0,0,0
39,51.07476396,8.340383083,0,0,0
40,51.10512951,8.217770201,0,0,0
41,51.11347218,8.373041381,0,0,0
42,51.03947098,8.460689116,0,0,0
43,50.9690186,8.417876555,0,0,0
44,51.1684871,7.927107633,0,0,0
45,51.10885244,8.365287604,0,0,0
46,51.11092776,8.178618941,0,0,0
47,51.00813024,8.316910769,0,0,0
48,51.02251764,8.445781884,0,0,0
49,51.06509976,8.270666717,0,0,0
50,51.21289771,8.010470498,0,0,0
51,51.13835031,8.186475277,0,0,0
52,51.11424974,8.109994811,0,0,0
53,51.07718024,8.256258808,0,0,0
54,51.10931893,8.15917766,0,0,0
55,51.14223214,8.499148701,0,0,0
56,50.9839876,8.444358296,0,0,0
57,51.02591583,8.405077469,0,0,0
58,50.93308454,8.289952053,0,0,0
59,51.22455364,8.002001094,0,0,0
